2021-01-22 00:00:00.204 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredDeals 144  - There is no expired DEAL
2021-01-22 00:00:00.566 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredBookings 163  - There is no expired BOOKING
2021-01-22 00:00:00.622 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredContracts 180  - There is no expire CONTRACT
2021-01-22 00:00:00.684 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredRequests 198  - There is no expired HOSTEL REQUEST
2021-01-22 00:00:00.744 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.sendRequestDueTime 215  - There is no in time REQUEST
2021-01-22 00:00:23.548 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.sendNotificationAboutNearlyExpiringContract 113  - There are 65 nearly expiring contracts
2021-01-22 00:00:23.549 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - f1kcC6pjMhu55I3oNqMqK-:APA91bFZjvwqunM4L4Pukq6rwLVfzrF0I1WAAKJ4ZIN8TIP60unsshVVe5Bn6xYonFxjjlnp48-Po9IT-Yto_Ar5CkScq7f_fwhV7-0wQQXjVaVbp7YNi3ud9hfJ5i4Nu0nUj5r-pLKM
2021-01-22 00:00:24.066 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - frtPe2ChcWCqslrHcVpIlo:APA91bGqJ9W6f-Z2IYvQiGor6xS0ThrU9ajsn-TmY1gnr4uw-YnlzvsF8bbvHFTzwIoFeqKCHAFTGdQgo_lyHl_Tb3spDrCVG36Ll__6liJnbkwRp8XBMozcOc_bWb_0U7luLuXcSGqs
2021-01-22 00:00:24.231 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - evCHrIF7JVKQMI46ocRsHl:APA91bETDy_GpKdN6KlJuixWG73MdYZ4VaYvT0JgRmySvdGiPGMr_smCIuiK0wak5ci083ibmyji_w6ac65LasBYbKt0OssUNvOaDDka8DKI-C4RZgnjZu4kLP3CapAzB-vJI4S8570I
2021-01-22 00:00:24.377 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - frtPe2ChcWCqslrHcVpIlo:APA91bGqJ9W6f-Z2IYvQiGor6xS0ThrU9ajsn-TmY1gnr4uw-YnlzvsF8bbvHFTzwIoFeqKCHAFTGdQgo_lyHl_Tb3spDrCVG36Ll__6liJnbkwRp8XBMozcOc_bWb_0U7luLuXcSGqs
2021-01-22 00:00:24.521 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
