2021-01-10 00:00:00.392 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredDeals 144  - There is no expired DEAL
2021-01-10 00:00:00.516 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredBookings 163  - There is no expired BOOKING
2021-01-10 00:00:00.625 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredContracts 180  - There is no expire CONTRACT
2021-01-10 00:00:00.731 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.cleanUpExpiredRequests 198  - There is no expired HOSTEL REQUEST
2021-01-10 00:00:00.838 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.sendRequestDueTime 215  - There is no in time REQUEST
2021-01-10 00:00:13.010 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.sendNotificationAboutNearlyExpiringContract 113  - There are 61 nearly expiring contracts
2021-01-10 00:00:13.012 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:13.780 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:13.975 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:14.136 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:14.284 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:14.442 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:14.626 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:14.795 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:14.958 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:15.150 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:15.375 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
2021-01-10 00:00:15.549 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 132  - cic-6rLphQhzSb-j7LNCdx:APA91bEXGPIQW91D6FxTmwl4iixWtAdbwMKzf9uuTAsHZep01qt811k35NbO3KiwjhNqhs3VUfF-8fGRzZ0EL_rQPdIdCUblTCQl-PO36VUQo8JPyXXWFViQJWC3nhBnLseh2f_VJbPj
2021-01-10 00:00:16.067 INFO   org.avengers.capstone.hostelrenting.handler.ScheduledTasks.lambda$sendNotificationAboutNearlyExpiringContract$0 128  - dummyToken
